iter	Passed	Remaining
405	7160	18271
406	7176	18250
407	7194	18232
408	7212	18215
409	7225	18187
410	7241	18164
411	7261	18152
412	7280	18138
413	7298	18123
414	7320	18115
415	7337	18097
416	7355	18080
417	7373	18064
418	7390	18042
419	7406	18021
420	7422	18001
421	7444	17994
422	7463	17979
423	7481	17961
424	7498	17943
425	7514	17922
426	7531	17903
427	7550	17889
428	7568	17871
429	7584	17850
430	7601	17831
431	7623	17822
432	7641	17805
433	7657	17786
434	7676	17771
435	7694	17753
436	7712	17736
437	7728	17714
438	7745	17697
439	7763	17679
440	7780	17661
441	7796	17639
442	7812	17617
443	7831	17603
444	7848	17584
445	7865	17564
446	7883	17547
447	7900	17529
448	7919	17514
449	7938	17499
450	7953	17476
451	7971	17458
452	7988	17440
453	8004	17420
454	8023	17404
455	8041	17388
456	8058	17369
457	8073	17346
458	8090	17326
459	8107	17306
460	8123	17287
461	8141	17269
462	8160	17254
463	8178	17238
464	8196	17222
465	8215	17206
466	8230	17184
467	8248	17166
468	8264	17145
469	8281	17127
470	8298	17107
471	8315	17089
472	8333	17071
473	8350	17054
474	8368	17037
475	8385	17018
476	8403	17000
477	8420	16982
478	8435	16959
479	8451	16938
480	8467	16916
481	8482	16894
482	8499	16876
483	8518	16860
484	8534	16841
485	8551	16822
486	8572	16809
487	8588	16790
488	8605	16771
489	8623	16754
490	8640	16734
491	8658	16719
492	8676	16701
493	8694	16685
494	8712	16667
495	8730	16652
496	8747	16632
497	8763	16611
498	8777	16588
499	8795	16570
500	8814	16556
501	8828	16531
502	8844	16511
503	8861	16491
504	8875	16467
505	8897	16459
506	8915	16441
507	8933	16425
508	8950	16406
509	8967	16387
510	8983	16366
511	9002	16351
512	9019	16332
513	9036	16315
514	9054	16297
515	9070	16278
516	9087	16259
517	9104	16241
518	9120	16219
519	9137	16201
520	9152	16178
521	9168	16159
522	9186	16142
523	9201	16120
524	9216	16098
525	9246	16102
526	9268	16091
527	9288	16079
528	9307	16063
529	9324	16044
530	9341	16026
531	9358	16007
532	9376	15991
533	9394	15973
534	9411	15955
535	9428	15937
536	9445	15919
537	9461	15898
538	9477	15877
539	9493	15857
540	9510	15839
541	9526	15819
542	9546	15805
543	9567	15793
544	9583	15773
545	9601	15755
546	9619	15739
547	9637	15721
548	9653	15702
549	9671	15684
550	9688	15667
551	9704	15647
552	9722	15629
553	9737	15608
554	9755	15590
555	9772	15572
556	9794	15561
557	9812	15545
558	9830	15528
559	9847	15510
560	9864	15491
561	9883	15475
562	9900	15457
563	9918	15440
564	9935	15422
565	9977	15442
566	9997	15428
567	10013	15407
568	10029	15387
569	10046	15368
570	10062	15349
571	10078	15329
572	10094	15309
573	10110	15289
574	10126	15269
575	10143	15250
576	10160	15231
577	10178	15215
578	10194	15195
579	10213	15178
580	10232	15163
581	10249	15144
582	10267	15127
583	10284	15109
584	10305	15097
585	10322	15078
586	10339	15060
587	10354	15038
588	10372	15021
589	10390	15005
590	10406	14985
591	10421	14962
592	10436	14942
593	10452	14922
594	10469	14902
595	10485	14883
596	10502	14865
597	10522	14851
598	10540	14834
599	10557	14816
600	10576	14800
601	10594	14782
602	10611	14764
603	10628	14745
604	10644	14726
605	10661	14707
606	10679	14690
607	10695	14671
608	10713	14654
609	10731	14636
610	10749	14620
611	10763	14596
612	10778	14577
613	10796	14559
614	10812	14539
615	10826	14517
616	10844	14500
617	10861	14482
618	10880	14465
619	10895	14445
620	10913	14428
621	10931	14411
622	10951	14396
623	10969	14380
624	10986	14361
625	11003	14343
626	11021	14325
627	11038	14307
628	11056	14291
629	11073	14272
630	11090	14254
631	11107	14235
632	11122	14215
633	11138	14195
634	11155	14177
635	11171	14158
636	11190	14141
637	11207	14123
638	11227	14108
639	11244	14091
640	11261	14072
641	11278	14054
642	11295	14036
643	11316	14022
644	11335	14006
645	11353	13989
646	11367	13968
647	11383	13948
648	11400	13929
649	11417	13911
650	11433	13892
651	11451	13875
652	11464	13852
653	11479	13832
654	11496	13812
655	11513	13794
656	11528	13775
657	11545	13756
658	11562	13738
659	11577	13717
660	11596	13701
661	11614	13684
662	11632	13668
663	11649	13649
664	11667	13632
665	11685	13615
666	11702	13596
667	11721	13580
668	11737	13562
669	11755	13544
670	11772	13526
671	11790	13509
672	11805	13489
673	11822	13471
674	11840	13454
675	11855	13433
676	11872	13416
677	11889	13397
678	11906	13379
679	11922	13360
680	11937	13339
681	11954	13321
682	11971	13303
683	11989	13286
684	12004	13265
685	12022	13248
686	12037	13228
687	12053	13209
688	12073	13194
689	12090	13176
690	12108	13160
691	12127	13143
692	12145	13127
693	12163	13109
694	12179	13090
695	12197	13073
696	12215	13056
697	12230	13036
698	12248	13019
699	12264	13000
700	12280	12981
701	12298	12964
702	12317	12948
703	12338	12933
704	12356	12917
705	12374	12899
706	12391	12882
707	12409	12864
708	12426	12847
709	12444	12829
710	12461	12812
711	12476	12791
712	12494	12774
713	12513	12758
714	12529	12739
715	12545	12721
716	12562	12702
717	12580	12686
718	12599	12669
719	12617	12652
720	12634	12634
721	12651	12616
722	12670	12599
723	12687	12581
724	12705	12564
725	12723	12548
726	12745	12534
727	12763	12517
728	12781	12501
729	12798	12483
730	12816	12465
731	12834	12448
732	12850	12430
733	12868	12412
734	12886	12395
735	12904	12378
736	12920	12359
737	12937	12341
738	12950	12319
739	12968	12302
740	12986	12285
741	12999	12264
742	13016	12245
743	13033	12227
744	13054	12213
745	13073	12197
746	13090	12179
747	13108	12162
748	13125	12144
749	13143	12126
750	13160	12108
751	13178	12091
752	13193	12072
753	13211	12055
754	13228	12036
755	13245	12018
756	13262	12000
757	13279	11983
758	13299	11967
759	13314	11948
760	13332	11930
761	13351	11914
762	13369	11897
763	13386	11879
764	13403	11861
765	13421	11844
766	13439	11827
767	13456	11809
768	13473	11791
769	13491	11773
770	13507	11755
771	13522	11735
772	13538	11716
773	13553	11697
774	13571	11680
775	13588	11661
776	13604	11643
777	13619	11624
778	13636	11605
779	13652	11587
780	13667	11567
781	13685	11550
782	13701	11531
783	13719	11514
784	13735	11496
785	13752	11477
786	13768	11459
787	13787	11442
788	13802	11423
789	13816	11402
790	13832	11384
791	13850	11366
792	13868	11350
793	13884	11331
794	13897	11310
795	13914	11292
796	13931	11274
797	13946	11254
798	13963	11237
799	13978	11217
800	13996	11200
801	14012	11182
802	14027	11162
803	14043	11144
804	14058	11124
805	14076	11107
806	14093	11089
807	14109	11071
808	14125	11052
809	14142	11034
810	14159	11017
811	14177	10999
812	14192	10980
813	14208	10962
814	14225	10943
815	14240	10924
816	14257	10906
817	14274	10888
818	14289	10870
819	14307	10852
820	14324	10834
821	14369	10838
822	14389	10822
823	14402	10802
824	14419	10784
825	14436	10766
826	14461	10754
827	14478	10736
828	14496	10719
829	14513	10701
830	14532	10684
831	14549	10667
832	14566	10649
833	14582	10630
834	14599	10613
835	14616	10595
836	14632	10576
837	14649	10558
838	14668	10542
839	14682	10522
