iter	Logloss
0	0.4160833783
1	0.3781251938
2	0.370670274
3	0.3664838526
4	0.3656270772
5	0.3652700374
6	0.3642612538
7	0.3639158949
8	0.3637193837
9	0.3636113286
10	0.3634574952
11	0.3632706122
12	0.3631450135
13	0.3629996417
14	0.36286818
15	0.3626604247
16	0.3625162572
17	0.3624449959
18	0.3623150981
19	0.3622137499
20	0.3621461509
21	0.3620622369
22	0.3618508695
23	0.361625417
24	0.3615405076
25	0.3614598634
26	0.3613734039
27	0.3612815085
28	0.3611472429
29	0.3610366518
30	0.3609071019
31	0.3607846513
32	0.360682831
33	0.3606199013
34	0.3604814471
35	0.3603494403
36	0.3602286533
37	0.3601147467
38	0.3600189081
39	0.3599073718
40	0.3598223204
41	0.3597246622
42	0.3595984013
43	0.359473258
44	0.3593856232
45	0.3593081019
46	0.3592160753
47	0.3590892965
48	0.3589908295
49	0.3588525403
50	0.3587594056
51	0.3587060304
52	0.3586125704
53	0.3585317315
54	0.3584294676
55	0.358298414
56	0.3582159672
57	0.3580943956
58	0.3580106271
59	0.3578934125
60	0.3578149496
61	0.3577293848
62	0.3576047322
63	0.357526327
64	0.3574132405
65	0.3573384444
66	0.3572267237
67	0.3571481372
68	0.3570447846
69	0.3569709017
70	0.3568932092
71	0.3567902652
72	0.3566938783
73	0.3565973549
74	0.356521024
75	0.3564285889
76	0.3563519769
77	0.3562709258
78	0.3561695026
79	0.3560955491
80	0.3560051943
81	0.3558822334
82	0.3557800536
83	0.3556727727
84	0.3555629464
85	0.3554689461
86	0.3553877139
87	0.3553137713
88	0.3552596807
89	0.3551974521
90	0.3551089438
91	0.3550004088
92	0.3549195882
93	0.3548126878
94	0.3547343437
95	0.3546367992
96	0.3545591256
97	0.3544784574
98	0.3543851764
99	0.3542608527
100	0.3541644158
101	0.3540863633
102	0.3540041004
103	0.3539177152
104	0.353851307
105	0.3537780171
106	0.3536954605
107	0.3536301202
108	0.3535548102
109	0.3534637305
110	0.3533746483
111	0.3532877099
112	0.3531988755
113	0.3531254591
114	0.3530608724
115	0.3530066726
116	0.3529542011
117	0.3529022003
118	0.3528240938
119	0.3527751595
120	0.3527270401
121	0.3526597283
122	0.3525872227
123	0.3524932328
124	0.3524269256
125	0.3523244394
126	0.3522300556
127	0.352159983
128	0.352036009
129	0.351944859
130	0.3518692809
131	0.3517775209
132	0.3517241817
133	0.3516160731
134	0.3515423733
135	0.3514540044
136	0.3513732853
137	0.351297607
138	0.3512358162
139	0.351185593
140	0.3510995388
141	0.351028611
142	0.3509517912
143	0.3508661589
144	0.3507753205
145	0.3506541195
146	0.3505862345
147	0.3505298307
148	0.3504637032
149	0.3503678632
150	0.3502868234
151	0.3502118326
152	0.3501260487
153	0.3500435505
154	0.3499701215
155	0.3499027008
156	0.3498255717
157	0.3497375331
158	0.3496691071
159	0.3496257794
160	0.3495318587
161	0.3494612035
162	0.3493856723
163	0.3493383241
164	0.3492388233
165	0.3491734621
166	0.3490906566
167	0.3490062425
168	0.3489338979
169	0.3488754843
170	0.3487839584
171	0.3487143162
172	0.3486272853
173	0.3483780699
174	0.3483125807
175	0.3482332222
176	0.3481604957
177	0.3480987599
178	0.348031989
179	0.3479648609
180	0.347903732
181	0.3478283321
182	0.3477087791
183	0.347621024
184	0.3475520049
185	0.3474550845
186	0.3473934404
187	0.3472968696
